City_name,area_code,All_usual,75_84,85_89,90_plus,Mean_Age
Leeds,E00056750,279,20,5,2,41.7
Leeds,E00056751,296,15,0,1,37.3
Leeds,E00056752,407,31,5,3,41.8
Leeds,E00056753,246,46,26,13,58.5
Leeds,E00056754,272,10,4,0,37.4
Leeds,E00056755,312,13,3,1,40.8
Leeds,E00056756,371,15,4,18,36.8
Leeds,E00056757,292,8,4,2,38.4
Leeds,E00056758,342,6,0,2,35.5
Leeds,E00056759,255,8,1,0,36.9
Leeds,E00056760,278,5,3,0,38.8
Leeds,E00056761,257,13,2,2,39.0
Leeds,E00056762,482,17,5,2,35.7
Leeds,E00056763,336,13,0,1,40.2
Leeds,E00056764,371,18,0,1,40.9
Leeds,E00056765,342,27,8,1,43.9
Leeds,E00056766,270,33,13,9,45.7
Leeds,E00056767,259,29,7,3,52.4
Leeds,E00056768,271,20,4,2,41.5
Leeds,E00056769,297,10,3,0,33.5
Leeds,E00056770,303,21,2,0,43.7
Leeds,E00056771,281,14,5,1,43.5
Leeds,E00056772,356,19,0,1,37.7
Leeds,E00056773,310,11,1,0,38.9
Leeds,E00056774,177,15,1,0,55.6
Leeds,E00056775,279,18,6,0,41.4
Leeds,E00056776,295,43,23,23,51.0
Leeds,E00056777,261,17,1,2,40.6
Leeds,E00056778,106,6,1,0,43.4
Leeds,E00056779,330,27,1,0,45.0
Leeds,E00056780,154,24,1,0,52.3
Leeds,E00056781,314,18,3,2,40.8
Leeds,E00056782,284,24,6,5,47.6
Leeds,E00056783,299,9,2,0,34.4
Leeds,E00056784,235,8,4,0,34.4
Leeds,E00056786,270,40,16,2,46.3
Leeds,E00056787,203,9,2,3,39.8
Leeds,E00056788,266,21,2,0,36.3
Leeds,E00056789,326,42,15,6,46.2
Leeds,E00056790,405,31,10,0,43.7
Leeds,E00056792,331,22,4,0,34.8
Leeds,E00056793,304,16,9,1,42.1
Leeds,E00056794,291,36,2,1,47.9
Leeds,E00056795,294,19,3,2,38.1
Leeds,E00056796,256,18,3,1,39.1
Leeds,E00056797,262,11,1,1,39.5
Leeds,E00056798,229,19,5,0,47.0
Leeds,E00056799,284,11,6,2,37.8
Leeds,E00056800,289,57,19,19,53.8
Leeds,E00056801,254,15,6,3,42.2
Leeds,E00056802,324,30,5,0,44.0
Leeds,E00056803,275,16,3,0,43.0
Leeds,E00056804,301,12,5,1,38.5
Leeds,E00056805,318,37,14,14,47.2
Leeds,E00056806,239,25,13,4,46.6
Leeds,E00056807,285,10,4,2,40.4
Leeds,E00056808,258,3,0,1,44.4
Leeds,E00056809,270,19,5,0,42.9
Leeds,E00056810,259,9,1,2,37.6
Leeds,E00056811,360,23,4,1,39.4
Leeds,E00056812,299,23,10,2,44.6
Leeds,E00056813,310,12,4,0,41.6
Leeds,E00056814,258,15,2,3,39.2
Leeds,E00056815,296,2,2,1,34.4
Leeds,E00056816,311,36,14,8,45.1
Leeds,E00056817,310,32,6,1,47.9
Leeds,E00056818,196,6,2,0,37.2
Leeds,E00056819,221,19,14,2,46.6
Leeds,E00056820,248,19,4,2,39.7
Leeds,E00056821,211,19,3,6,46.7
Leeds,E00056822,438,10,0,1,34.5
Leeds,E00056823,310,27,11,1,41.0
Leeds,E00056825,232,11,3,2,43.3
Leeds,E00056827,235,8,2,4,35.3
Leeds,E00056828,219,17,6,0,43.6
Leeds,E00056829,252,8,4,4,37.5
Leeds,E00056830,338,17,2,0,31.9
Leeds,E00056831,244,21,3,1,42.5
Leeds,E00056832,256,8,4,1,41.1
Leeds,E00056833,260,4,1,0,32.2
Leeds,E00056834,402,2,0,1,35.6
Leeds,E00056835,326,28,5,1,43.7
Leeds,E00056836,274,13,8,2,39.7
Leeds,E00056837,230,13,2,1,42.6
Leeds,E00056838,288,8,2,2,38.1
Leeds,E00056839,401,11,3,0,30.8
Leeds,E00056840,373,20,0,2,33.5
Leeds,E00056841,289,6,1,2,35.9
Leeds,E00056842,325,25,3,0,41.8
Leeds,E00056843,370,14,5,0,39.5
Leeds,E00056845,293,14,4,1,34.9
Leeds,E00056846,348,10,1,0,34.1
Leeds,E00056847,328,39,12,4,45.8
Leeds,E00056848,257,16,3,3,36.9
Leeds,E00056849,278,18,4,5,39.1
Leeds,E00056850,308,8,0,0,30.1
Leeds,E00056851,297,7,3,0,35.1
Leeds,E00056852,419,9,5,1,33.2
Leeds,E00056853,305,11,2,2,35.3
Leeds,E00056854,254,10,0,0,31.7
Leeds,E00056855,232,7,0,0,32.8
Leeds,E00056856,291,6,1,0,29.0
Leeds,E00056858,247,3,0,0,29.3
Leeds,E00056859,253,5,1,0,28.8
Leeds,E00056861,270,8,2,2,38.6
Leeds,E00056862,396,41,6,1,42.8
Leeds,E00056863,243,11,4,2,42.5
Leeds,E00056864,304,30,5,0,43.8
Leeds,E00056865,291,9,0,0,38.4
Leeds,E00056866,243,27,3,2,50.8
Leeds,E00056867,301,9,2,0,34.6
Leeds,E00056868,312,23,2,2,39.6
Leeds,E00056869,332,20,4,3,39.6
Leeds,E00056871,216,9,0,1,34.1
Leeds,E00056873,327,4,1,0,32.6
Leeds,E00056874,409,15,2,0,33.5
Leeds,E00056875,249,13,1,0,36.7
Leeds,E00056876,395,8,0,3,34.2
Leeds,E00056877,254,28,14,13,50.9
Leeds,E00056878,310,17,4,1,38.5
Leeds,E00056879,263,6,3,0,32.2
Leeds,E00056880,256,5,1,1,32.2
Leeds,E00056881,175,6,0,2,34.8
Leeds,E00056882,289,6,1,1,33.2
Leeds,E00056883,286,28,8,2,47.1
Leeds,E00056884,355,13,9,6,35.0
Leeds,E00056885,276,10,0,0,32.2
Leeds,E00056886,148,16,6,0,49.7
Leeds,E00056887,417,12,0,0,34.3
Leeds,E00056888,203,3,0,2,30.8
Leeds,E00056889,297,0,0,0,27.8
Leeds,E00056890,264,6,1,0,33.8
Leeds,E00056891,214,23,3,3,41.7
Leeds,E00056892,289,4,0,0,31.4
Leeds,E00056893,325,6,1,0,28.8
Leeds,E00056894,407,13,2,2,30.9
Leeds,E00056895,184,26,9,5,50.8
Leeds,E00056897,247,15,8,10,38.7
Leeds,E00056898,310,20,4,3,34.6
Leeds,E00056899,290,14,0,2,33.9
Leeds,E00056900,198,11,3,3,39.7
Leeds,E00056901,203,29,5,2,50.7
Leeds,E00056902,294,1,0,0,24.7
Leeds,E00056903,424,12,3,0,34.8
Leeds,E00056904,287,36,17,13,47.0
Leeds,E00056905,258,21,1,1,43.2
Leeds,E00056906,338,16,3,0,38.3
Leeds,E00056907,235,9,3,1,39.3
Leeds,E00056908,177,7,0,0,39.0
Leeds,E00056909,385,0,0,0,27.3
Leeds,E00056910,214,15,4,1,38.9
Leeds,E00056911,220,11,1,1,38.3
Leeds,E00056912,315,18,2,3,37.2
Leeds,E00056913,353,14,4,0,40.2
Leeds,E00056914,294,16,4,0,39.2
Leeds,E00056915,308,18,1,2,36.8
Leeds,E00056916,165,29,8,5,50.3
Leeds,E00056917,310,13,1,0,40.3
Leeds,E00056918,357,21,3,0,44.0
Leeds,E00056919,248,34,4,1,55.4
Leeds,E00056920,368,18,7,1,42.3
Leeds,E00056921,361,8,0,0,39.5
Leeds,E00056922,282,20,3,1,43.0
Leeds,E00056923,292,23,8,1,48.7
Leeds,E00056924,311,11,3,1,35.4
Leeds,E00056925,304,8,2,1,33.6
Leeds,E00056926,223,21,7,6,44.5
Leeds,E00056927,387,9,0,2,37.9
Leeds,E00056928,260,31,10,7,58.6
Leeds,E00056929,305,20,5,1,46.4
Leeds,E00056930,275,20,7,2,39.5
Leeds,E00056931,322,9,4,0,41.0
Leeds,E00056932,299,14,3,9,43.6
Leeds,E00056933,276,12,6,0,39.1
Leeds,E00056934,247,8,2,1,36.4
Leeds,E00056935,225,13,5,0,37.7
Leeds,E00056936,288,20,4,0,38.7
Leeds,E00056937,160,22,8,6,44.2
Leeds,E00056938,305,11,3,0,37.4
Leeds,E00056939,347,9,1,1,34.0
Leeds,E00056940,309,11,2,4,38.0
Leeds,E00056941,405,14,6,1,35.3
Leeds,E00056942,330,7,1,1,39.4
Leeds,E00056943,348,13,2,0,38.8
Leeds,E00056944,238,33,5,5,56.2
Leeds,E00056945,283,9,6,3,36.9
Leeds,E00056946,341,18,2,0,40.0
Leeds,E00056947,335,18,1,2,41.5
Leeds,E00056948,337,13,2,2,38.4
Leeds,E00056949,167,28,8,6,50.7
Leeds,E00056950,265,27,4,2,48.0
Leeds,E00056951,274,26,10,2,50.1
Leeds,E00056952,288,25,4,3,49.7
Leeds,E00056953,260,38,7,5,52.5
Leeds,E00056954,279,19,0,2,42.2
Leeds,E00056955,312,26,6,1,43.4
Leeds,E00056956,240,30,8,3,51.5
Leeds,E00056957,280,25,5,1,42.7
Leeds,E00056958,311,35,6,8,47.2
Leeds,E00056959,181,18,0,1,46.0
Leeds,E00056960,394,34,1,3,45.6
Leeds,E00056961,323,10,2,3,42.8
Leeds,E00056962,355,12,4,0,40.3
Leeds,E00056963,384,7,0,0,34.2
Leeds,E00056964,340,15,1,0,34.0
Leeds,E00056965,296,28,2,1,43.7
Leeds,E00056966,279,31,11,5,49.1
Leeds,E00056967,239,3,0,0,27.2
Leeds,E00056968,411,32,5,1,43.7
Leeds,E00056969,242,26,3,0,47.0
Leeds,E00056970,326,19,2,0,39.7
Leeds,E00056971,215,21,9,0,47.6
Leeds,E00056972,172,2,0,0,36.0
Leeds,E00056973,231,2,1,0,31.8
Leeds,E00056974,325,31,11,3,44.7
Leeds,E00056975,355,21,5,3,42.6
Leeds,E00056976,439,32,4,0,41.8
Leeds,E00056977,238,12,2,0,40.3
Leeds,E00056978,289,18,5,3,43.9
Leeds,E00056979,344,6,0,0,33.1
Leeds,E00056981,304,23,2,2,39.5
Leeds,E00056982,336,21,8,11,41.7
Leeds,E00056983,307,14,2,1,42.1
Leeds,E00056984,264,31,13,3,43.6
Leeds,E00056985,287,15,2,2,46.3
Leeds,E00056986,312,12,4,0,36.7
Leeds,E00056987,317,15,4,1,42.4
Leeds,E00056988,337,35,18,10,44.5
Leeds,E00056989,335,6,3,4,33.3
Leeds,E00056990,255,10,2,1,37.4
Leeds,E00056991,355,18,4,0,42.8
Leeds,E00056992,363,5,0,0,28.0
Leeds,E00056993,336,15,1,0,34.1
Leeds,E00056994,324,16,3,2,39.0
Leeds,E00056995,305,5,5,2,32.8
Leeds,E00056997,262,8,2,0,30.5
Leeds,E00056998,524,11,0,0,28.4
Leeds,E00056999,291,11,3,0,33.4
Leeds,E00057000,279,7,3,1,32.8
Leeds,E00057001,365,13,6,2,33.6
Leeds,E00057002,239,15,0,1,40.7
Leeds,E00057003,310,22,6,0,40.7
Leeds,E00057004,190,19,2,2,43.6
Leeds,E00057005,195,21,7,6,42.3
Leeds,E00057006,242,26,6,2,44.9
Leeds,E00057007,273,25,9,4,47.3
Leeds,E00057008,245,11,3,1,40.7
Leeds,E00057009,327,11,2,1,34.1
Leeds,E00057010,257,9,3,0,41.2
Leeds,E00057011,430,12,8,4,39.0
Leeds,E00057012,342,16,1,0,29.8
Leeds,E00057013,139,3,1,0,32.1
Leeds,E00057014,417,12,3,1,29.7
Leeds,E00057015,257,1,0,1,28.5
Leeds,E00057016,343,11,3,0,32.5
Leeds,E00057017,309,9,2,2,34.2
Leeds,E00057018,243,10,1,2,31.8
Leeds,E00057019,304,30,6,2,42.4
Leeds,E00057020,270,6,0,0,29.9
Leeds,E00057021,289,15,1,1,35.2
Leeds,E00057022,288,11,2,0,32.6
Leeds,E00057023,312,8,1,1,30.5
Leeds,E00057024,328,27,7,8,41.2
Leeds,E00057025,305,14,1,0,34.2
Leeds,E00057026,307,29,5,0,41.2
Leeds,E00057027,390,12,0,0,32.8
Leeds,E00057028,317,3,0,0,30.0
Leeds,E00057029,376,6,0,1,27.7
Leeds,E00057030,228,9,2,0,41.3
Leeds,E00057031,298,12,5,0,36.3
Leeds,E00057032,389,15,2,4,30.9
Leeds,E00057033,211,7,1,1,41.2
Leeds,E00057034,413,27,6,3,39.2
Leeds,E00057035,355,11,2,1,31.8
Leeds,E00057036,373,23,6,0,34.2
Leeds,E00057037,333,9,3,2,34.1
Leeds,E00057038,335,12,5,1,32.7
Leeds,E00057039,260,17,5,3,37.9
Leeds,E00057040,298,31,12,11,44.0
Leeds,E00057041,300,15,6,5,38.3
Leeds,E00057042,308,13,0,2,31.6
Leeds,E00057043,291,9,0,1,31.8
Leeds,E00057044,263,20,5,3,41.2
Leeds,E00057045,292,2,0,0,31.8
Leeds,E00057046,288,23,2,0,39.0
Leeds,E00057047,292,12,1,1,33.3
Leeds,E00057048,402,5,0,0,26.1
Leeds,E00057049,395,5,0,1,28.5
Leeds,E00057050,253,14,1,0,39.6
Leeds,E00057051,456,21,4,2,36.0
Leeds,E00057052,299,12,5,2,37.2
Leeds,E00057053,228,3,1,2,31.7
Leeds,E00057054,272,3,0,0,34.5
Leeds,E00057055,304,18,5,6,39.3
Leeds,E00057056,302,7,6,1,33.1
Leeds,E00057057,250,13,2,0,43.3
Leeds,E00057058,308,16,2,0,35.5
Leeds,E00057059,241,17,6,0,38.4
Leeds,E00057060,262,10,0,1,40.3
Leeds,E00057062,335,9,2,0,32.5
Leeds,E00057063,246,26,11,0,43.9
Leeds,E00057064,279,0,1,1,27.6
Leeds,E00057065,199,1,1,0,36.2
Leeds,E00057066,328,32,20,11,45.9
Leeds,E00057067,416,5,1,0,33.3
Leeds,E00057068,254,17,3,1,37.7
Leeds,E00057069,288,5,2,3,33.5
Leeds,E00057070,257,9,3,1,38.4
Leeds,E00057071,225,19,3,2,40.7
Leeds,E00057072,192,6,3,1,39.7
Leeds,E00057073,289,14,4,1,44.6
Leeds,E00057074,217,7,5,3,38.1
Leeds,E00057075,319,7,0,1,36.7
Leeds,E00057076,289,2,0,0,24.8
Leeds,E00057077,270,11,2,0,39.2
Leeds,E00057078,210,6,2,2,37.7
Leeds,E00057079,232,12,0,0,35.8
Leeds,E00057080,245,12,4,4,36.7
Leeds,E00057081,297,0,0,0,28.0
Leeds,E00057082,234,12,4,1,36.5
Leeds,E00057083,246,27,1,4,43.3
Leeds,E00057084,214,13,2,1,39.3
Leeds,E00057085,252,7,0,0,31.6
Leeds,E00057086,240,12,2,1,39.2
Leeds,E00057087,286,23,5,0,42.4
Leeds,E00057088,312,4,0,0,28.9
Leeds,E00057089,245,15,4,2,41.9
Leeds,E00057090,259,7,1,0,34.8
Leeds,E00057091,318,14,3,0,38.0
Leeds,E00057092,366,3,1,0,25.8
Leeds,E00057093,251,39,10,5,51.2
Leeds,E00057094,276,25,1,1,44.1
Leeds,E00057095,201,22,12,5,46.3
Leeds,E00057096,288,8,5,0,34.6
Leeds,E00057097,249,12,3,2,38.1
Leeds,E00057098,231,19,7,4,42.2
Leeds,E00057099,246,16,5,2,44.0
Leeds,E00057100,234,25,9,2,45.4
Leeds,E00057101,268,12,5,0,41.3
Leeds,E00057102,225,22,4,3,44.5
Leeds,E00057103,213,6,6,2,38.5
Leeds,E00057104,260,28,11,3,43.6
Leeds,E00057105,219,4,0,1,33.4
Leeds,E00057106,208,19,4,3,44.3
Leeds,E00057107,265,16,4,2,38.1
Leeds,E00057108,236,20,4,0,46.1
Leeds,E00057109,374,7,0,0,27.6
Leeds,E00057110,311,41,13,3,45.7
Leeds,E00057111,321,20,6,1,40.3
Leeds,E00057112,246,18,7,1,40.7
Leeds,E00057113,226,1,0,0,33.4
Leeds,E00057114,278,4,0,0,34.5
Leeds,E00057115,244,8,6,2,34.5
Leeds,E00057116,313,28,0,1,41.0
Leeds,E00057117,213,14,4,2,41.2
Leeds,E00057118,284,11,2,1,35.2
Leeds,E00057119,230,14,4,0,43.3
Leeds,E00057120,219,13,4,1,43.6
Leeds,E00057121,214,6,3,0,35.2
Leeds,E00057122,256,11,2,0,40.4
Leeds,E00057123,270,12,4,2,39.3
Leeds,E00057124,343,6,0,1,29.4
Leeds,E00057125,335,7,2,4,28.8
Leeds,E00057126,336,15,1,1,30.4
Leeds,E00057127,297,17,3,0,32.4
Leeds,E00057128,266,15,2,0,44.0
Leeds,E00057129,219,17,3,2,44.1
Leeds,E00057130,320,8,1,0,32.6
Leeds,E00057131,313,9,1,0,30.1
Leeds,E00057132,300,9,4,3,36.5
Leeds,E00057133,270,4,1,1,33.3
Leeds,E00057134,397,7,0,1,28.2
Leeds,E00057135,344,15,2,2,35.5
Leeds,E00057136,327,11,3,1,37.8
Leeds,E00057137,317,14,0,1,33.1
Leeds,E00057138,326,46,13,11,47.6
Leeds,E00057139,320,9,1,1,34.6
Leeds,E00057140,324,8,0,0,28.0
Leeds,E00057141,316,6,3,1,30.2
Leeds,E00057142,192,8,0,1,31.7
Leeds,E00057144,248,5,0,0,32.5
Leeds,E00057145,373,20,2,3,35.2
Leeds,E00057146,208,38,3,2,54.5
Leeds,E00057147,247,6,2,0,33.4
Leeds,E00057148,269,9,1,1,35.0
Leeds,E00057149,283,4,0,0,30.7
Leeds,E00057150,230,2,1,1,30.2
Leeds,E00057151,401,13,2,0,29.2
Leeds,E00057152,189,6,0,1,33.8
Leeds,E00057153,310,39,14,11,46.5
Leeds,E00057154,294,7,2,1,32.1
Leeds,E00057155,290,0,0,0,28.8
Leeds,E00057156,249,16,2,1,43.8
Leeds,E00057157,285,6,2,1,32.2
Leeds,E00057158,282,23,3,2,43.1
Leeds,E00057159,289,9,0,0,28.9
Leeds,E00057160,313,13,2,0,37.0
Leeds,E00057161,264,10,2,1,34.7
Leeds,E00057162,292,10,3,1,33.5
Leeds,E00057163,331,9,2,2,32.2
Leeds,E00057164,257,37,15,3,49.8
Leeds,E00057165,268,8,0,0,27.9
Leeds,E00057166,311,22,5,2,35.6
Leeds,E00057167,262,24,1,0,39.8
Leeds,E00057169,293,10,0,1,33.4
Leeds,E00057170,396,30,8,3,41.8
Leeds,E00057171,354,9,2,1,34.1
Leeds,E00057172,382,15,6,0,36.8
Leeds,E00057173,263,21,4,5,43.8
Leeds,E00057175,293,6,3,1,42.4
Leeds,E00057176,223,6,1,0,29.3
Leeds,E00057177,362,6,0,0,31.4
Leeds,E00057178,361,8,3,2,32.9
Leeds,E00057179,587,28,6,0,33.2
Leeds,E00057180,234,2,0,1,29.5
Leeds,E00057181,209,44,7,1,63.7
Leeds,E00057182,221,5,3,0,43.5
Leeds,E00057183,197,5,1,0,39.9
Leeds,E00057184,196,7,3,0,39.4
Leeds,E00057185,252,10,2,0,35.8
Leeds,E00057186,254,29,6,7,48.1
Leeds,E00057187,355,17,6,0,38.3
Leeds,E00057188,291,1,0,1,28.5
Leeds,E00057189,318,1,3,0,30.4
Leeds,E00057190,267,10,1,0,34.2
Leeds,E00057191,243,5,2,3,37.4
Leeds,E00057192,258,25,4,0,42.4
Leeds,E00057193,258,10,0,0,38.6
Leeds,E00057194,257,17,0,3,36.3
Leeds,E00057195,320,16,3,5,37.5
Leeds,E00057196,265,14,3,1,35.0
Leeds,E00057197,284,22,4,1,41.3
Leeds,E00057198,409,17,10,7,39.5
Leeds,E00057199,335,13,0,1,31.4
Leeds,E00057200,395,13,1,2,32.4
Leeds,E00057202,367,17,2,2,31.8
Leeds,E00057204,449,23,2,1,35.3
Leeds,E00057205,322,23,7,2,41.4
Leeds,E00057206,232,9,2,1,33.3
Leeds,E00057207,224,1,0,0,32.5
Leeds,E00057208,411,17,3,0,37.0
Leeds,E00057209,318,26,2,3,38.8
Leeds,E00057210,394,15,4,1,37.2
Leeds,E00057211,314,10,2,1,32.3
Leeds,E00057212,267,6,2,0,37.1
Leeds,E00057213,371,17,0,0,35.2
Leeds,E00057214,279,10,1,0,35.7
Leeds,E00057215,324,9,1,0,31.6
Leeds,E00057216,367,18,4,0,35.7
Leeds,E00057217,429,15,2,2,31.6
Leeds,E00057218,324,11,4,1,32.0
Leeds,E00057220,465,22,7,0,31.2
Leeds,E00057221,297,14,4,3,41.6
Leeds,E00057222,468,14,3,0,30.5
Leeds,E00057223,396,17,3,0,32.8
Leeds,E00057225,571,29,5,1,30.5
Leeds,E00057226,326,26,5,3,38.7
Leeds,E00057227,344,8,0,0,34.1
Leeds,E00057228,311,21,1,3,40.1
Leeds,E00057229,264,18,4,0,40.2
Leeds,E00057230,270,6,1,3,37.5
Leeds,E00057231,380,5,2,2,39.5
Leeds,E00057232,420,12,8,7,34.8
Leeds,E00057233,249,26,6,3,44.1
Leeds,E00057234,293,26,23,14,42.9
Leeds,E00057235,292,10,2,1,36.5
Leeds,E00057236,305,16,3,1,38.2
Leeds,E00057238,302,13,4,0,40.7
Leeds,E00057239,298,13,3,0,38.3
Leeds,E00057240,177,19,8,4,45.9
Leeds,E00057241,322,4,2,0,29.9
Leeds,E00057242,285,7,1,0,31.9
Leeds,E00057244,449,15,1,0,34.6
Leeds,E00057245,345,11,1,2,34.0
Leeds,E00057246,151,23,1,0,58.3
Leeds,E00057247,283,6,2,1,33.6
Leeds,E00057248,279,16,2,2,38.4
Leeds,E00057249,289,9,0,1,36.8
Leeds,E00057250,240,19,1,2,38.6
Leeds,E00057251,293,12,3,0,38.3
Leeds,E00057252,315,18,0,1,35.5
Leeds,E00057253,321,18,6,2,41.6
Leeds,E00057254,368,12,5,0,32.5
Leeds,E00057255,455,9,1,2,30.1
Leeds,E00057256,210,1,0,0,30.6
Leeds,E00057257,265,5,2,3,32.0
Leeds,E00057258,242,3,0,1,31.7
Leeds,E00057259,196,3,0,0,30.2
Leeds,E00057261,203,5,1,1,38.1
Leeds,E00057262,358,40,6,2,46.2
Leeds,E00057264,340,6,1,0,30.7
Leeds,E00057265,329,21,6,2,37.5
Leeds,E00057266,394,7,0,0,25.6
Leeds,E00057267,308,5,0,0,34.0
Leeds,E00057268,188,17,3,1,36.0
Leeds,E00057269,177,7,1,1,33.7
Leeds,E00057270,373,12,2,1,31.9
Leeds,E00057271,208,5,1,0,35.0
Leeds,E00057272,357,5,0,0,29.6
Leeds,E00057273,319,5,1,2,30.8
Leeds,E00057274,250,27,6,2,45.4
Leeds,E00057275,209,9,2,0,32.3
Leeds,E00057276,302,6,2,1,33.5
Leeds,E00057277,190,23,1,1,40.1
Leeds,E00057278,216,9,7,0,37.8
Leeds,E00057280,186,3,0,0,30.3
Leeds,E00057281,317,10,0,1,32.8
